"K","theta","p","psi","nSamples","Index"
2,0.42,0.3,1,125,585
4,0.42,0.3,1,125,586
8,0.42,0.3,1,125,587
16,0.42,0.3,1,125,588
2,0.76,0.3,1,125,589
4,0.76,0.3,1,125,590
8,0.76,0.3,1,125,591
16,0.76,0.3,1,125,592
2,0.06,0.35,1,125,593
4,0.06,0.35,1,125,594
8,0.06,0.35,1,125,595
16,0.06,0.35,1,125,596
2,0.24,0.35,1,125,597
4,0.24,0.35,1,125,598
8,0.24,0.35,1,125,599
16,0.24,0.35,1,125,600
2,0.42,0.35,1,125,601
4,0.42,0.35,1,125,602
8,0.42,0.35,1,125,603
16,0.42,0.35,1,125,604
2,0.76,0.35,1,125,605
4,0.76,0.35,1,125,606
8,0.76,0.35,1,125,607
16,0.76,0.35,1,125,608
2,0.06,0.4,1,125,609
4,0.06,0.4,1,125,610
8,0.06,0.4,1,125,611
16,0.06,0.4,1,125,612
2,0.24,0.4,1,125,613
4,0.24,0.4,1,125,614
8,0.24,0.4,1,125,615
16,0.24,0.4,1,125,616
2,0.42,0.4,1,125,617
4,0.42,0.4,1,125,618
8,0.42,0.4,1,125,619
16,0.42,0.4,1,125,620
2,0.76,0.4,1,125,621
4,0.76,0.4,1,125,622
8,0.76,0.4,1,125,623
16,0.76,0.4,1,125,624
2,0.06,0.75,1,125,625
4,0.06,0.75,1,125,626
8,0.06,0.75,1,125,627
16,0.06,0.75,1,125,628
2,0.24,0.75,1,125,629
4,0.24,0.75,1,125,630
8,0.24,0.75,1,125,631
16,0.24,0.75,1,125,632
2,0.42,0.75,1,125,633
4,0.42,0.75,1,125,634
8,0.42,0.75,1,125,635
16,0.42,0.75,1,125,636
2,0.76,0.75,1,125,637
4,0.76,0.75,1,125,638
8,0.76,0.75,1,125,639
16,0.76,0.75,1,125,640
